,band_name,country,formed-split,genres
0,Iron Maiden,United Kingdom,1975-,"New wave of British heavy,  Heavy"
1,Opeth,Sweden,1990-,"Extreme progressive,  Progressive, Progressive rock"
2,Metallica,USA,1981-," Heavy, Bay Area thrash"
3,Megadeth,USA,1983-," Thrash,  Heavy,  Hard rock"
4,Amon Amarth,Sweden,1988-,Melodic death
5,Slayer,USA,1981-2019, Thrash
6,Death,USA,1983-2001,"Progressive death,  Death, Progressive thrash"
7,Black Sabbath,United Kingdom,1968-2017," Doom,  Heavy,  Hard rock"
8,Dream Theater,USA,1985-, Progressive
9,Judas Priest,United Kingdom,1969-," Heavy,  Hard rock"
10,Nightwish,Finland,1996-,"Symphonic power,  Symphonic"
11,Children Of Bodom,Finland,1993-2019,Extreme power
12,Blind Guardian,Germany,1984-," Power,  Speed"
13,Agalloch,USA,1995-2016,"Atmospheric black, Neofolk "
14,Dark Tranquillity,Sweden,1989-, Gothenburg
15,Pantera,USA,1981-2003," Heavy, Groove thrash, Groove metal "
16,In Flames,Sweden,1990-," Gothenburg,  Alternative"
17,Katatonia,Sweden,1991-,"Blackened doom, Death doom, Alternative rock, Gothic doom"
18,Ensiferum,Finland,1995-,Extreme folk
19,Behemoth,Poland,1991-," Black, Blackened death"
20,Kreator,Germany,1982-,Teutonic thrash
21,Arch Enemy,Sweden,1996-, Gothenburg
22,Amorphis,Finland,1990-," Death, Melodic death,  Folk,  Progressive"
23,Insomnium,Finland,1997-,Melodic death
24,Dimmu Borgir,Norway,1993-,"Symphonic black,  Black"
25,Wintersun,Finland,2004-,Extreme power
26,Tool,USA,1988-," Progressive,  Alternative"
27,Testament,USA,1983-,Bay Area thrash
28,Helloween,Germany,1978-," Speed,  Power"
29,Gojira,France,1996-,"Progressive death,  Alternative"
30,Immortal,Norway,1990-," Death,  Black"
31,Kamelot,USA,1991-,Symphonic power
32,Epica,The Netherlands,2002-, Symphonic
33,Lamb Of God,USA,1999-,Groove thrash
34,Iced Earth,USA,1985-," Heavy, US power"
35,Anathema,United Kingdom,1990-,"Death doom, Atmospheric rock,  Doom"
36,Mastodon,USA,1999-,"Progressive stoner, Progressive sludge"
37,Rammstein,Germany,1994-, Industrial
38,Symphony X,USA,1994-," Progressive, Symphonic power"
39,Eluveitie,Switzerland,2002-,"Celtic folk,  Gothenburg"
40,Sepultura,Brazil,1984-," Death, Groove thrash,  Alternative,  Thrash"
41,Enslaved,Norway,1991-,"Viking black, Progressive black"
42,Be'lakor,Australia,2004-,Melodic death
43,Paradise Lost,United Kingdom,1988-," Gothic, Death doom,  Doom"
44,Emperor,Norway,1991-," Black, Symphonic black"
