,Band,Style,Country,Formed,Split,Fans
0,Iron Maiden  ,New wave of British heavy Heavy,United Kingdom,1975,-,5130
1,Opeth  ,Extreme progressive ProgressiveProgressive rock,Sweden,1990,-,4861
2,Metallica  ,HeavyBay Area thrash,USA,1981,-,4385
3,Megadeth  ,Thrash Heavy Hard rock,USA,1983,-,3663
4,Slayer  ,Thrash,USA,1981,2019,3461
5,Amon Amarth  ,Melodic death,Sweden,1988,-,3458
6,Death  ,Progressive death DeathProgressive thrash,USA,1983,2001,3391
7,Black Sabbath  ,Doom Heavy Hard rock,United Kingdom,1968,2017,2823
8,Dream Theater  ,Progressive,USA,1985,-,2729
9,Judas Priest  ,Heavy Hard rock,United Kingdom,1969,-,2633
10,Nightwish  ,Symphonic power Symphonic,Finland,1996,-,2512
11,Children Of Bodom  ,Extreme power,Finland,1993,2019,2443
12,Blind Guardian  ,Power Speed,Germany,1984,-,2352
13,Agalloch  ,Atmospheric blackNeofolk,USA,1995,2016,2268
14,Dark Tranquillity  ,Gothenburg,Sweden,1989,-,2252
15,Pantera  ,HeavyGroove thrashGroove metal,USA,1981,2003,2225
16,In Flames  ,Gothenburg Alternative,Sweden,1990,-,2194
17,Katatonia  ,Blackened doomDeath doomAlternative rockGothic doom,Sweden,1991,-,2095
18,Behemoth  ,BlackBlackened death,Poland,1991,-,2060
19,Ensiferum  ,Extreme folk,Finland,1995,-,2056
20,Kreator  ,Teutonic thrash,Germany,1982,-,2049
21,Arch Enemy  ,Gothenburg,Sweden,1996,-,2032
22,Amorphis  ,DeathMelodic death Folk Progressive,Finland,1990,-,2011
23,Insomnium  ,Melodic death,Finland,1997,-,1992
24,Dimmu Borgir  ,Symphonic black Black,Norway,1993,-,1960
25,Wintersun  ,Extreme power,Finland,2004,-,1900
26,Tool  ,Progressive Alternative,USA,1988,-,1891
27,Testament  ,Bay Area thrash,USA,1983,-,1839
28,Helloween  ,Speed Power,Germany,1978,-,1797
29,Gojira  ,Progressive death Alternative,France,1996,-,1768
30,Immortal  ,Death Black,Norway,1990,-,1703
31,Kamelot  ,Symphonic power,USA,1991,-,1691
32,Epica  ,Symphonic,The Netherlands,2002,-,1678
33,Lamb Of God  ,Groove thrash,USA,1999,-,1666
34,Anathema  ,Death doomAtmospheric rock Doom,United Kingdom,1990,-,1609
35,Iced Earth  ,HeavyUS power,USA,1985,-,1602
36,Mastodon  ,Progressive stonerProgressive sludge,USA,1999,-,1555
37,Rammstein  ,Industrial,Germany,1994,-,1542
38,Symphony X  ,ProgressiveSymphonic power,USA,1994,-,1527
39,Eluveitie  ,Celtic folk Gothenburg,Switzerland,2002,-,1501
40,Sepultura  ,DeathGroove thrash Alternative Thrash,Brazil,1984,-,1478
41,Be'lakor  ,Melodic death,Australia,2004,-,1432
42,Enslaved  ,Viking blackProgressive black,Norway,1991,-,1431
43,Paradise Lost  ,GothicDeath doom Doom,United Kingdom,1988,-,1424
44,Emperor  ,BlackSymphonic black,Norway,1991,-,1396
45,Moonspell  ,FolkGothic black GothicSymphonic black Black,Portugal,1989,-,1393
46,Cannibal Corpse  ,Death,USA,1988,-,1373
47,Nile  ,Brutal deathTechnical death,USA,1993,-,1344
48,Cradle Of Filth  ,Extreme gothicSymphonic black Death Symphonic,United Kingdom,1991,-,1326
49,Sonata Arctica  ,Power,Finland,1996,-,1326
50,Therion  ,Death Symphonic,Sweden,1987,-,1318
51,Septicflesh  ,Atmospheric deathSymphonic death,Greece,1990,-,1312
52,Porcupine Tree  ,Progressive rock Progressive,United Kingdom,1987,-,1295
53,My Dying Bride  ,Death doomGothic doom,United Kingdom,1990,-,1267
54,Led Zeppelin  ,Progressive hard rock HeavyBlues rock,United Kingdom,1968,1980,1258
55,Carcass  ,GrindcoreMelodic death,United Kingdom,1985,-,1239
56,Dio  ,Heavy,USA,1982,2010,1239
57,Nevermore  ,Heavy Progressive Thrash,USA,1991,2011,1211
58,Bathory  ,Viking blackFirst wave of black,Sweden,1983,2004,1209
59,Stratovarius  ,Power Heavy,Finland,1982,-,1195
60,System Of A Down  ,Alternative,USA,1995,-,1187
61,Anthrax  ,Thrash Heavy,USA,1981,-,1180
62,Meshuggah  ,Technical thrash Math Progressive,Sweden,1987,-,1177
63,Swallow The Sun  ,Melodic deathMelodic doom,Finland,2000,-,1175
64,Slipknot  ,Alternative Nu,USA,1995,-,1167
65,Morbid Angel  ,Death,USA,1984,-,1157
66,Draconian  ,Gothic doom,Sweden,1994,-,1150
67,Kalmah  ,Extreme powerMelodic death,Finland,1991,-,1144
68,Exodus  ,Bay Area thrash,USA,1980,-,1137
69,Moonsorrow  ,Viking folk,Finland,1995,-,1136
70,Burzum  ,BlackDark Ambient Ambient,"Norway, France",1989,-,1133
71,Machine Head  ,Groove thrashProgressive thrash Alternative,USA,1992,-,1120
72,Motörhead  ,Heavy,"United Kingdom, USA",1975,2015,1104
73,AC/DC  ,Hard rockBlues rock,Australia,1973,-,1099
74,Within Temptation  ,Symphonic Gothic,The Netherlands,1996,-,1082
75,Finntroll  ,Extreme folk,Finland,1997,-,1058
76,Rotting Christ  ,Black Gothic,Greece,1987,-,1056
77,Hypocrisy  ,DeathMelodic death Gothenburg,Sweden,1990,-,1051
78,Ayreon  ,ProgressiveProgressive rock,The Netherlands,1995,-,1049
79,At The Gates  ,Melodic death Gothenburg,Sweden,1990,-,1038
80,Gamma Ray  ,Power,Germany,1988,-,1036
81,Manowar  ,HeavyUS power,USA,1980,-,1033
82,Bloodbath  ,Death,Sweden,1998,-,1020
83,Mayhem  ,Death Black,Norway,1984,-,1005
84,HammerFall  ,Power,Sweden,1993,-,996
85,Sodom  ,Teutonic thrash,Germany,1980,-,990
86,Dissection  ,Melodic deathMelodic black,Sweden,1989,2006,989
87,Sabaton  ,Power,Sweden,1999,-,988
88,Alcest  ,Atmospheric blackShoegaze,France,2000,-,983
89,Darkthrone  ,Death BlackCrust punk Heavy,Norway,1986,-,977
90,Avantasia  ,Symphonic power,Germany,1999,-,974
91,Vader  ,Death,Poland,1983,-,970
92,Summoning  ,Atmospheric black,Austria,1993,-,966
93,Overkill  ,Thrash,USA,1980,-,963
94,Rush  ,Progressive rock,Canada,1968,2018,952
95,Devin Townsend  ,Industrial progressive Progressive,Canada,1996,-,947
96,Ozzy Osbourne  ,Heavy,"United Kingdom, USA",1979,-,931
97,Satyricon  ,Black,Norway,1990,-,930
98,Korpiklaani  ,Folk,Finland,2003,-,929
99,Rhapsody  ,Symphonic power,Italy,1993,2006,926
100,Deep Purple  ,Heavy Hard rock,United Kingdom,1968,-,886
101,Trivium  ,Metalcore Thrash Alternative,USA,2000,-,870
102,Riverside  ,Progressive,Poland,2001,-,854
103,Soilwork  ,Gothenburg,Sweden,1995,-,838
104,King Diamond  ,Heavy,"Denmark, USA",1985,-,817
105,Equilibrium  ,Viking folk Gothenburg,Germany,2001,-,807
106,Edguy  ,Power,Germany,1992,-,795
107,Obituary  ,Death,USA,1984,-,787
108,Alice In Chains  ,Grunge Heavy,USA,1985,-,786
109,Ghost  ,Hard rock Heavy,Sweden,2008,-,782
110,Candlemass  ,Epic doom,Sweden,1984,-,781
111,Orphaned Land  ,Progressive folk Death Folk,Israel,1991,-,764
112,Accept  ,Heavy,Germany,1968,-,754
113,Ne Obliviscaris  ,Extreme progressive,Australia,2003,-,749
