;count;stem;variants;as_noun;as_ajct;as_verb;as_other
0;690;oh;oh;132;219;80;259
1;489;one;one / ones;131;0;0;358
2;485;come;come / comes / coming;17;9;459;0
3;471;never;never;0;0;0;471
4;452;die;die / died / dying / dies;85;4;362;1
5;451;know;know / knows / knowing;1;3;447;0
6;445;night;night / nights;445;0;0;0
7;427;time;time / times / timing;427;0;0;0
8;403;live;live / living / lives / lived;123;31;249;0
9;402;see;see / seeing / sees;8;1;393;0
10;366;go;go / going;1;0;365;0
11;348;like;like / likes / liked / likely;0;5;16;327
12;334;fight;fight / fighting / fights;137;9;174;14
13;311;take;take / takes / taking;6;1;304;0
14;289;away;away;0;0;0;289
15;282;get;get / getting / gets;13;0;269;0
16;277;feel;feel / feeling / feels / feelings;50;0;227;0
17;276;world;world / worlds;276;0;0;0
18;268;fire;fire / fires / fired / firing;253;0;15;0
19;261;blood;blood / bloods;242;17;2;0
20;250;us;us;0;0;0;250
21;249;run;run / running / runs;38;4;205;2
22;248;ride;ride / riding / rides;103;3;135;7
23;244;way;way / ways;244;0;0;0
24;238;let;let / letting / lets;36;2;200;0
25;237;look;look / looking / looks / looked;71;0;166;0
26;234;life;life;234;0;0;0
27;234;eye;eyes / eye / eyed;230;0;3;1
28;234;hell;hell;201;1;31;1
29;232;yeah;yeah;156;16;17;43
30;231;heart;heart / hearts / hearted;225;0;6;0
31;226;day;day / days;226;0;0;0
32;222;dream;dream / dreams / dreaming / dreamed;185;4;27;6
33;212;stand;stand / standing / stands;71;0;140;1
34;212;burn;burning / burn / burns / burned;34;1;173;4
35;211;light;light / lights / lighting;127;74;10;0
36;210;kill;kill / killing / kills / killed;50;0;160;0
37;208;man;man;208;0;0;0
38;205;power;power / powers / powerful;202;3;0;0
39;204;say;say / saying / says;0;0;204;0
40;204;god;god / gods;182;7;15;0
41;203;black;black / blackness / blacked;6;196;1;0
42;202;dark;dark / darkness;150;49;1;2
43;196;wait;waiting / wait / waits / waited;34;1;161;0
44;189;want;want / wants / wanted / wanting;2;1;186;0
45;187;back;back / backed / backs;26;5;7;149
46;186;hand;hand / hands;185;0;1;0
47;186;wind;wind / winds / winding;177;0;7;2
48;184;metal;metal;174;8;2;0
49;183;hear;hear / hears / hearing;8;7;161;7
50;181;call;call / calling / called / calls;51;2;128;0
51;179;make;make / makes / making;7;0;172;0
52;173;turn;turn / turning / turned / turns;15;0;158;0
53;173;fall;fall / falling / falls;29;0;143;1
54;172;evil;evil / evils;56;91;19;6
55;170;soul;soul / souls;154;5;7;4
56;167;alway;always;0;0;0;167
57;165;love;love / loving / loved / loves;88;2;67;8
58;164;sky;sky / skies;151;10;3;0
59;158;give;give / giving / gives;1;7;150;0
60;157;insid;inside;12;2;2;141
61;157;mind;mind / minds / minded;151;0;6;0
62;154;dead;dead;11;138;5;0
63;154;free;free;0;151;3;0
64;153;death;death;153;0;0;0
65;152;end;end / ends / ending / ended;103;1;48;0
66;151;well;well;17;0;3;131
67;146;right;right / rights / rightful / rightness;47;41;2;56
68;145;fli;fly / flies / flying;34;1;110;0
69;144;scream;scream / screaming / screams / screamed;59;3;82;0
70;143;head;head / heads / heading;130;1;12;0
71;143;fear;fear / fears / feared / fearing;118;4;21;0
72;141;bring;bring / brings / bringing;6;0;134;1
73;138;lie;lies / lie / lying / lied;71;6;61;0
74;138;pain;pain;121;1;15;1
75;137;tell;tell / tells / telling;4;2;128;3
76;137;hail;hail / hailed;97;27;13;0
77;136;caus;cause / causing;104;0;31;1
78;135;would;would;0;0;0;135
79;135;steel;steel;135;0;0;0
80;135;could;could;0;0;0;135
81;130;rock;rock / rocking / rocks;79;0;50;1
82;130;play;play / playing / played / plays;32;0;97;1
83;128;anoth;another;0;0;0;128
84;125;believ;believe / believed / believes / believer / believers / believing;4;0;121;0
85;125;heaven;heaven / heavens;47;22;20;36
86;125;last;last / lasts / lasting;0;124;1;0
87;124;forev;forever;36;1;2;85
88;124;roll;roll / rolling / rolls / rolled;63;0;61;0
89;123;king;king / kings;81;5;37;0
90;119;face;face / faces / faced / facing;34;0;85;0
91;118;tri;try / trying / tried / tries;15;0;102;1
92;116;name;name / names;115;0;1;0
93;113;demon;demon / demons / demonizer / demonic;103;8;2;0
94;113;around;around;0;0;0;113
95;113;leav;leave / leaving / leaves;7;1;105;0
96;112;war;war / wars;112;0;0;0
97;112;still;still / stillness / stills;1;0;1;110
98;111;cri;cry / cries / crying / cried;48;0;63;0
99;111;thing;things / thing;111;0;0;0
100;111;devil;devil / devils;97;12;2;0
101;108;watch;watch / watching / watched / watches;15;0;92;1
102;106;break;break / breaking / breaks;13;0;89;4
103;106;place;place / places / placed;102;0;4;0
104;106;men;men;106;0;0;0
105;105;find;find / finding;0;0;105;0
106;105;sun;sun / suns;101;1;3;0
107;105;holi;holy;36;63;6;0
108;104;born;born / borne;30;1;73;0
109;103;better;better;0;64;0;39
110;103;son;son / sons;102;1;0;0
111;100;must;must;0;0;0;100
112;99;think;think / thinking;13;0;86;0
113;93;carri;carry / carried / carrying / carries;52;0;41;0
114;93;hold;hold / holding / holds;15;1;77;0
115;92;show;show / showing / shows;22;0;70;0
116;91;walk;walk / walking / walked / walks;14;0;77;0
117;91;long;long / longing;0;38;2;51
118;91;shall;shall;0;0;0;91
119;91;made;made;0;0;91;0
120;90;sword;sword / swords;89;1;0;0
121;90;side;side / sides;88;0;2;0
122;90;keep;keep / keeps / keeping;5;0;85;0
